hashtag,count
yoga,1059
Yoga,585
news,380
for,232
Day,171
of,171
day,147
meditation,134
International,128
India,120
News,118
Modi,105
in,100
english,79
latest,77
music,76
international,74
india,66
Sport,66
modi,64
Narendra,62
to,61
health,56
Meditation,55
and,55
today,47
PM,45
Health,44
wellness,40
peace,40
