year,videos,visibility_index,stable_visibility,smoothed_visibility,regime
2015,450,17.31666666666657,17.31666666666657,15.807447668070974,plateau
2016,277,15.527548099081796,14.29822866947538,11.48344405179344,fatigue
2017,1,25.0,2.8354368192383657,8.635161160786284,fatigue
2018,50,13.63455152488007,8.77181799364511,7.673654922173562,fatigue
2019,50,17.740999250742,11.413709953637213,7.484670315998205,plateau
2022,1,20.001177466913497,2.268483000712291,8.58007109727651,expansion
2023,50,18.74248869487826,12.058020337480027,7.163251669096159,fatigue
