query,title,url,source,seendate,year
International Yoga Day,Yoga Day 2023 : PM Modi to Lead Celebrations With People From Over 180 Countries At UN HQ | Details Here,https://www.news18.com/india/yoga-day-2023-pm-modi-new-york-event-over-180-countries-top-updates-8104345.html,,20230617T161500Z,2023
International Yoga Day,International Yoga Day : PM Modi hopes yoga gains more popularity globally,https://www.livemint.com/news/india/internation-yoga-day-pm-modi-hopes-yoga-gains-more-popularity-globally-11686901822333.html,,20230616T090000Z,2023
International Yoga Day,Yoga Tutkunları Sri Lankada Uluslararası Yoga Günü  ne Hazırlanıyor,https://www.haberler.com/guncel/yoga-tutkunlari-sri-lanka-da-uluslararasi-yoga-16043018-haberi/,,20230618T123000Z,2023
International Yoga Day,"Message of Yoga is to rise above everything , spread peace , prosperity : MoS Meenakashi Lekhi",https://news.webindia123.com/news/Articles/World/20230617/4088761.html,,20230617T081500Z,2023
International Yoga Day,Sangam City Gears Up For International Yoga Day | Allahabad News,https://timesofindia.indiatimes.com/city/allahabad/sangam-city-gears-up-for-international-yoga-day/articleshow/101057677.cms,,20230617T043000Z,2023
International Yoga Day,La Embajada de la India en Buenos Aires celebra el Día Internacional del Yoga,https://tn.com.ar/sociedad/2023/06/17/la-embajada-de-la-india-en-buenos-aires-celebra-el-dia-internacional-del-yoga/,,20230617T173000Z,2023
International Yoga Day,People Across Country Perform Yoga in Preparation of International Day of Yoga on June 21 | In Pics,https://www.news18.com/photogallery/photogallery/people-across-country-perform-yoga-in-preparation-of-international-day-of-yoga-on-june-21-in-pics-8124151.html,,20230620T094500Z,2023
International Yoga Day,PM Modi to lead a session at UNHQ on International Yoga Day,https://pragativadi.com/pm-modi-to-lead-a-session-at-unhq-on-international-yoga-day/,,20230616T070000Z,2023
International Yoga Day,PM Modi to lead yoga session at UNHQ on June 21,https://www.firstpost.com/world/pm-modi-to-lead-yoga-session-at-unhq-on-june-21-12746332.html,,20230616T074500Z,2023
International Yoga Day,PM to lead mass Yoga demo at UN HQ on June 21 to herald IDA,https://www.thestatesman.com/india/pm-to-lead-mass-yoga-demo-at-un-hq-on-june-21-to-herald-idy-1503191099.html,,20230617T141500Z,2023
International Yoga Day,Looking forward to participate in Intl Yoga Day celebrations with PM Modi : UNGA Deputy Secretary General,https://news.webindia123.com/news/Articles/World/20230617/4088390.html,,20230617T031500Z,2023
International Yoga Day,Hari Yoga Internasional 2023 : Kedubes India Gelar Kelas Yoga di Atas Kapal Angkatan Laut,https://www.liputan6.com/global/read/5321774/hari-yoga-internasional-2023-kedubes-india-gelar-kelas-yoga-di-atas-kapal-angkatan-laut,,20230617T124500Z,2023
International Yoga Day,"Message of Yoga is to rise above everything , spread peace , prosperity : MoS Meenakashi Lekhi",http://aninews.in/news/world/asia/message-of-yoga-is-to-rise-above-everything-spread-peace-prosperity-mos-meenakashi-lekhi20230617111055/,,20230617T083000Z,2023
International Yoga Day,Read all Latest Updates on and about International Yoga Day,https://www.maalaimalar.com/tags/international-yoga-day,,20230614T204500Z,2023
International Yoga Day,В Благовещенске пройдёт день йоги АМУР . Инфо,https://amur.info/2023/06/10/v-blagoveshhenske-projdyot-den-jogi/,,20230610T020000Z,2023
International Yoga Day,un modi yoga : PM Narendra Modi to lead yoga session at UN headquarters on June 21,https://economictimes.indiatimes.com/news/india/pm-narendra-modi-to-lead-yoga-session-at-un-headquarters-on-june-21/articleshow/101033165.cms,,20230616T034500Z,2023
International Yoga Day,International Yoga Day : PM Modi To Lead Yoga Session At UN Headquarters On June 21,https://www.ndtv.com/india-news/international-yoga-day-pm-modi-to-lead-yoga-session-at-un-headquarters-on-june-21-4125541,,20230616T024500Z,2023
International Yoga Day,"In a first , PM Modi to lead a session at UNHQ on International Yoga Day",https://www.business-standard.com/india-news/in-a-first-pm-modi-to-lead-a-session-at-unhq-on-international-yoga-day-123061600091_1.html,,20230616T064500Z,2023
International Yoga Day,jharkhand news yoga countdown in ranchi before international yoga day mtj | अंतरराष्ट्रीय योग दिवस से पहले रांची में आयुष विभाग का 7 दिवसीय योग काउंटडाउन 15 जून से,https://www.prabhatkhabar.com/state/jharkhand/ranchi/jharkhand-news-yoga-countdown-in-ranchi-before-international-yoga-day-mtj,,20230611T111500Z,2023
International Yoga Day,"International Yoga Day 2023 : Quotes , Images , Wishes for Facebook , WhatsApp , Instagram Status and Stories",https://www.jagranjosh.com/general-knowledge/yoga-day-quotes-images-wishes-stories-and-status-1687283778-1,,20230621T033000Z,2023
International Yoga Day,International Yoga Day 2023 : Tips to manage blood sugar levels | Health,https://www.hindustantimes.com/lifestyle/health/international-yoga-day-2023-yoga-tips-to-manage-blood-sugar-levels-for-people-with-diabetes-101686990977644.html,,20230617T094500Z,2023
International Yoga Day,Admin Gears Up For International Yoga Day ; Kvd To Host Main Event | Varanasi News,https://timesofindia.indiatimes.com/city/varanasi/admin-gears-up-for-international-yoga-day-kvd-to-host-main-event/articleshow/101058127.cms,,20230617T051500Z,2023
International Yoga Day,Отбелязваме Международния ден на йога,https://bnr.bg/post/101838190/otbelazvame-mejdunarodnia-den-na-ioga,,20230617T023000Z,2023
International Yoga Day,MP fortunate to get chance to host national program of International Yoga Day : CM Chouhan,https://news.webindia123.com/news/Articles/India/20230608/4083488.html,,20230608T180000Z,2023
International Yoga Day,Ishvara Yoga celebra el Día Internacional del Yoga el 16 de junio con una clase conjunta en el Sánchez Menor - Lanza Digital,https://www.lanzadigital.com/provincia/puertollano/ishvara-yoga-celebra-el-dia-internacional-del-yoga-el-16-de-junio-con-una-clase-conjunta-en-el-sanchez-menor/,,20230601T130000Z,2023
International Yoga Day,Indian Prime Minister Modi to Lead Yoga Session at U . N . Headquarters,https://www.breitbart.com:443/asia/2023/06/16/indian-prime-minister-modi-lead-yoga-session-u-n-headquarters/,,20230617T193000Z,2023
International Yoga Day,"International Yoga Day 2023 : Date , Theme , Significance , History And Celebrations Worldwide",https://zeenews.india.com:443/health/international-yoga-day-2023-date-theme-significance-history-and-celebrations-worldwide-2623779.html,,20230619T123000Z,2023
International Yoga Day,"International Yoga Day 2023 : Date , Theme , Significance , History And Celebrations Worldwide",https://zeenews.india.com/health/international-yoga-day-2023-date-theme-significance-history-and-celebrations-worldwide-2623779,,20230619T191500Z,2023
International Yoga Day,Yoga Day Challenge returns to Apple Watch with new stickers to unlock in time for iOS 17,https://9to5mac.com/2023/06/13/yoga-day-challenge-apple-watch/,,20230613T224500Z,2023
International Yoga Day,Photo Gallery : International Yoga Day Celebrations Captured In Pictures,https://www.forbesindia.com/article/lifes/strike-a-pose-international-yoga-day-celebrations-captured-in-pictures/85989/1,,20230621T143000Z,2023
International Yoga Day,International Day of Yoga : Yoga Practitioners Perform Water Yoga in Rameswaram | சர்வதேச யோகா தினம் : ராமேசுவரத்தில் நீர் யோகா செய்த யோகா பயிற்சியாளர்கள்,https://www.dailythanthi.com:443/News/State/international-day-of-yoga-yoga-practitioners-perform-water-yoga-in-rameswaram-991194,,20230621T061500Z,2023
International Yoga Day,International Yoga Day Speech for Students in English,https://www.timesnownews.com/viral/international-yoga-day-speech-for-students-in-english-article-101110098,,20230619T134500Z,2023
International Yoga Day,"International Yoga Day 2023 : WhatsApp wishes , quotes , greetings to promote healthy lifestyle",https://www.dnaindia.com/lifestyle/report-international-yoga-day-2023-whatsapp-wishes-quotes-greetings-to-promote-healthy-lifestyle-3048503,,20230621T004500Z,2023
International Yoga Day,Schools in UP to celebrate International Yoga Day,https://news.webindia123.com/news/Articles/India/20230615/4086677.html,,20230615T004500Z,2023
International Yoga Day,Last Village Of Line of Control In Akhnoor Celebrates International Yoga Day Jawans And Villagers,https://www.timesnownews.com/india/last-village-of-line-of-control-in-akhnoor-celebrates-international-yoga-day-jawans-and-villagers-article-101171307/amp,,20230622T110000Z,2023
International Yoga Day,"Why International Yoga Day 2023 is celebrated on June 21 ? Know history , significance , theme and more",https://www.dnaindia.com/lifestyle/report-why-international-yoga-day-2023-is-celebrated-on-june-21-know-history-significance-theme-and-more-3048156,,20230618T084500Z,2023
International Yoga Day,Gwanghwamun moonlight yoga eases city stress,http://www.koreatimes.co.kr/www/nation/2023/06/281_352748.html,,20230612T024500Z,2023
