video_id,title,channel,upload_date,duration,view_count
9R5j7aIbpq0,International Day of Yoga | 2024,NIPARS Official,20240620,249,1656
4ToNpt4dAMc,NIRVANA SHATAKAM | international yoga day 2024 |YOGA CHAITHANYA,YOGA CHAITHANYA,20240702,319,1080
6qYYbjmn6LM,International Yoga Day Special Quiz - International Day of Yoga Quiz 2024- Most Important Questions,MOM&MISHKA,20240614,486,3922
lRC3UxJF3ZM,International Yoga Day 2024,Kadamba International School(KIS) ,20240626,1398,1948
ALhIfbtNLcg,"International Yoga Day 2024 || Theme - ""Yoga for Self and Society"" || Benefits of Yoga",SheelTalks,20240620,188,562
OuwpMJdatAw,PES University - Celebrates 10th International Yoga Day - 2024,PESU LIVE,20240621,7379,1125
ro67GOMTxbs,Dance Yoga By RYS Team For 10th International Yoga Day 2024,RESCULPT YOGA STUDIO,20240625,147,1956
bJgAp7SRgMk,Yoga day 21 June 2024 | Yoga day celebration,yogamates,20260106,338,9138
yO0OUE_6WLM,INTERNATIONAL DAY OF YOGA :-                    21 JUNE 2024 #yoga  #internationaldayofyoga2024,AGRASEN DAVPS,20240621,239,1618
UHhXcXrHbFA,International Yoga Day 2024 Special | Yoga With Smita | Yoga for Kids,Smita Bansal #Smitasb,20240621,259,1396
Wn8MJoHHzq0,International yoga day 2024 | 2nd video #yoga#internationalyogaday#celebration,Manita Khawas Healthy Life 🧘,20240622,1128,1171
wq6Dz53epXI,International Yoga Day Drawing/Yoga Day Poster/World Yoga Day Drawing/International Yoga Day 2024,Art and Craft Sara,20240610,548,2044
Us69_36cjg0,"PM Modi Yoga Day News | International Yoga Day 2024 Celebrations | Banks of Dal Lake, Srinagar",CNN-News18,20240621,595,609
cJEAK5Qks9U,International Day of Yoga 2025: Embracing the Ancient Tradition for Holistic Health,NYC DESI  एनवाईसी देसी,20250623,250,4012
zqsQ3SLkbgU,International Yoga Day 2024 | UPSC | Daily Current News | Drishti IAS,Drishti IAS,20240621,184,22207
30unmx881Ag,PM Modi Addresses Nation From Srinagar On International Yoga Day 2024 | India Today News,India Today,20240621,664,5868
SFMN1XdD8_E,International Yoga Day Celebrations 2024 - Antyodaya Yoga- Yoga for self & society,"Antyodaya Yoga Studio | International Yoga Teacher Training School, Yoga Alliance, US |",20240621,182,623
o9Op6dPMVZY,ALL INDIA YOGASANA TOURNAMENT 2024-25 Bhuvaneshwar.,Dr.Namdev Phatangare,20241226,845,531905
k1o-qz6eCik,Glimpse of International Yoga day 2024 @ Government ITI Hapur | अंतरराष्ट्रीय योग दिवस 2024,Gurukul E-School,20240621,175,1723
uddfLWI0nRY,Yoga Dance | International Yoga Day | By Yoga Group Barwaha,Anushree Atre,20240620,417,597661
xVg2c3gOQFY,Namaste Yoga | Yoga Day 2024 | Promo,India Today,20240620,31,3699
pUDMxxoNe88,International Yoga Day - Gouthami Vidya Niketan High School 2024,Gouthami VidyaNiketan High School ,20240623,120,1445
FNdSkS0tTCQ,International Yoga Day 2024: 'Yoga & Ayurveda'- Celebrating India's gift to mankind | WION Promo,WION,20240531,43,9277
b89U8h63uSI,International Yoga Day 2024: Indian Navy personnel perform Yoga Asana onboard INS TEG,IndiaTV News English,20240621,162,611
K00r2GsUhic,"""Yoga for All: Celebrating International Yoga Day with Youth Veerangnayen""",Youth Veerangnayen,20240625,245,34361
OCyFGMOFKt8,Celebrating International Yoga Day 2024: Power Of Meditation And Mindfulness | India Today News,India Today,20240621,863,1778
BaAPktRjn3Y,7- IDY LE NEG _ Sa Yehi,Idy Le Neg ,20250802,168,455490
bnKWCuyZQy0,Yoga for Self and Society | IDY 2024 with YENRI,YENRI,20240621,3368,138
CgmAmbaWiec,Yoga for self and society,Sailor Today,20240621,4812,128
52rs7XGbJvc,🌿 Yoga for Self and Society,SPEFL-SC,20240624,4355,93
-_Zn3F279mM,Yoga -  For Self and Society,B Positive,20240730,65,23
-NghXPxXi-M,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240618,208,208
7BJ-YJ6qcIo,🧘‍♀️ International Yoga Day 2025 | Yoga for Self and Society 🧘‍♂️,The actual me ,20251029,1954,341
LcXwLEEJRzo,"International Yoga Day 2024 theme is""Yoga for Self and Society""#yogaforselfandsociety #idy@mdniyyoga",Yoga by Geet,20240621,241,120
U9beCVRmpCc,International Day of Yoga 2024 - YOGA FOR SELF AND SOCIETY,Yogadvika,20240621,79,62
r7xdgnDNlDM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240617,182,269
fRuY9gdDD3c,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240619,244,481
9NaG7q7-QYM,International Yoga Day 2024 Theme : Yoga for Self and Society,Vibrancy,20240625,28,12
-pOwf3m8HBE,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240615,141,254
elZ98SR4PNM,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240618,148,178
dN7-tXsrjYk,Yoga for Self & Society - Celebrating 10th International Yoga Day - June 21 #YogaforAllRoga,Planet Ayurveda,20240621,929,6721
OkVZA6fQ9Qw,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️,Ministry of Information & Broadcasting,20240617,144,134
95kRvXxYhu0,#Yoga for Self and Society!🧘🏻‍♀️🌍🧘🏻‍♂️➡️#Ustrasana - The Camel Posture!🔷,"Information & PR, J&K",20240614,177,16
8PjqjxUvNOo,Yoga for Self and Society Essay Writing or speech in English 300 Words by Smile Please World,Smile Please World,20240620,147,685
