year,videos,engagement,views,likes,comments,institutional_share,media_share,other_share,wellness_share,engagement_norm,views_norm,likes_norm,comments_norm,visibility_index,discourse_entropy_proxy
2015,450,4641.575771163584,191142996,1749205.0,37722.0,26.666666666666668,7.777777777777778,18.444444444444443,47.11111111111111,0.999999999999784,1.0,0.9999999999999994,0.9999999999999736,17.31666666666657,16.645913004491113
2016,277,2467.208247699924,11622889,108470.0,2897.0,11.191335740072201,7.9422382671480145,22.382671480144403,58.48375451263538,0.5305320773819221,0.06080479637161988,0.061999766748380924,0.0767742106518895,15.527548099081795,23.16361132481603
2017,1,10.018600359636633,509,21.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0
2018,50,365.6349621830368,33458,395.0,20.0,20.0,2.0,36.0,42.0,0.07678116640015377,0.00017237925757448158,0.00021381398412059554,0.0005036982052437501,13.63455152488007,17.925772879665004
2019,50,431.99720874124426,83136,1236.0,115.0,14.000000000000002,6.0,12.0,68.0,0.09110944609332529,0.0004322796113874986,0.0006946096008195818,0.003022189231462501,17.740999250742,28.867513459481287
2022,1,22.137501085392962,81066,1179.0,42.0,0.0,0.0,0.0,100.0,0.002616593141103364,0.00042144999400368796,0.0006620229775712558,0.001086927706052303,20.001177466913497,50.0
2023,50,447.3270880075059,932953,18135.0,115.0,38.0,0.0,16.0,46.0,0.09441932195168533,0.004878266546777745,0.010355685851231197,0.003022189231462501,18.74248869487826,20.944370763206678
