video_id,captions_available,languages,auto_generated
C1KafektaEc,True,en,True
ZaA653fHNbI,True,en,True
eWjwbFEcIes,True,hi,True
znl48C9WgYQ,True,hi,True
ICZ5cKz14uw,True,hi,True
t-mknfY6GIY,True,hi,True
U8tPNIJgIdk,True,es,True
QBuUEdQ3r_c,True,hi,True
PbLy3_7DPs4,True,en,True
_czzoFZX0hE,True,fil,True
RksEiQ09rGM,True,en,True
LrMK9WrQ3SU,True,en,True
1hxz_M2JSsI,True,en,True
h7cDzRJTBqE,True,hi,True
EnuEIlD82nM,True,en,True
7Va1b0AOSsg,True,en,True
DrSUWq4R_Uw,True,hi,True
NQkMW-u_Yqw,True,en,True
2pEUxdJxm3U,True,en,True
9JF7XB--NfY,True,en,True
CifvyJWnZxQ,True,en,True
7gZ2hpcA-E0,True,hi,True
f0l1TH8N3fQ,True,en,True
XgPRT2axJUM,True,en,True
-8kiR-YOgsY,True,en,True
DPyvzFfcVxo,True,hi,True
iNE_0MHCPBg,True,en,True
_Yw5vdlCb84,True,en,True
lviLklNIk2Q,True,hi,True
REcI14WYLfg,True,en,True
dU0Y-ZTNYxo,True,en,True
QlpDBRtZX8o,True,en,True
WWvE-QGVmAM,True,en,True
GzkKnhOvqiM,True,en,True
t6B6jkuUHEo,True,hi,True
NOK9-J_s3_8,True,en,True
JufwIJc5aSY,True,en,True
3iZ5WMvDy_4,True,hi,True
ZPvjYdERaEI,True,hi,True
3zACOxsxXsg,True,en,True
bccEoJ0G6qE,True,en,True
nvMRN2bf0zY,True,en,True
r_s9fyqBDDg,True,en,True
zdIgtTxEzv8,True,en,True
lwld6izt6cA,True,en,True
ZKbE0otIDaE,True,en,True
aQ3znaD0cCg,True,en,True
-qBsODoJEPU,True,hi,True
P5on4xVU2eQ,True,en,True
UqFEcKCGCRI,True,en,True
S0bIJVsW6kg,True,en,True
DMcqcYaidyw,True,ta,True
dGKd7pdpdJ0,True,ko,True
cFooVAkqFiU,True,en,True
SPWeCdEFZDY,True,en,True
h_3xhGmBEW0,True,hi,True
GlkYMhn_IyY,True,en,True
i-Nuc_L4mio,True,hi,True
HV93s9jRkdY,True,gu,True
FMKB_BVupYA,True,hi,True
PuUFl4VchH8,True,hi,True
Uk2MNaV2cW8,True,my,True
VuWWSufO4as,True,hi,True
UxnQCbsBc2c,True,hi,True
lnnW0UvLkjw,True,hi,True
Dq5nE-NDJxU,True,hi,True
6u2Az-WuzVA,True,en,True
Ak0uTdv5kEo,True,hi,True
2kKVITRbaD4,True,en,True
T9W6XoM-x4A,True,hi,True
fZ269RBWrIg,True,hi,True
2ZYvUAqRYcA,True,en,True
PcRqCO_wOd4,True,en,True
riKrz4kinQM,True,hi,True
KZa6YfdR4Vc,True,en,True
LQllvEizyM0,True,hi,True
v3j7ODYGd0s,True,hi,True
Xr7UpJjARrQ,True,en,True
uZLjeYZS9Ng,True,hi,True
hZkdJw2n5G4,True,hi,True
JXXZD1BQqBY,True,hi,True
GpWHLMVk0xU,True,en,True
8c5XwUaJ5ZE,True,hi,True
BfmTN-RJ9so,True,en,True
UZ8Er3yfWQQ,True,en,True
Ctix1E-BF0s,True,te,True
J2Y1TJwWKyM,True,en,True
gZi7H-scLCA,True,hi,True
kMvjE4XbbSU,True,en,True
Is43iSzaa4I,True,hi,True
z0xjLB12GYY,True,en,True
zJFk62RSVVY,True,hi,True
5N24-_8xXQo,True,en,True
tAYDAz0xctI,True,en,True
7v0PIHCXlUU,True,hi,True
SuZSLw-Pcw0,True,en,True
lmSGD0I_Xao,True,"fr,en",True
rUuJE4YEVMw,True,hi,True
xsf1eHv_vSE,True,hi,True
_8IpP4tZP4k,True,ru,True
75BLUGP7kmE,True,en,True
WEjHA0rWaJ4,True,hi,True
WDhvcUSkggo,True,en,True
ucLh0_3oE6Y,True,en,True
hSPBcQJ4Tx8,True,en,True
u-ExPW6VGTE,True,en,True
U8Xap8TH2kM,True,en,True
