video_id,captions_available,languages,auto_generated
ALhIfbtNLcg,True,en,True
OuwpMJdatAw,False,,False
ro67GOMTxbs,False,,False
bJgAp7SRgMk,True,en,True
yO0OUE_6WLM,True,hi,True
UHhXcXrHbFA,True,mr,True
Wn8MJoHHzq0,False,,False
wq6Dz53epXI,False,,False
Us69_36cjg0,True,hi,True
cJEAK5Qks9U,True,en,True
zqsQ3SLkbgU,True,hi,True
30unmx881Ag,True,hi,True
SFMN1XdD8_E,True,hi,True
o9Op6dPMVZY,False,,False
k1o-qz6eCik,True,fr,True
fn0b2ndPwys,False,,False
uddfLWI0nRY,True,hi,True
xVg2c3gOQFY,True,en,True
pUDMxxoNe88,False,,False
FNdSkS0tTCQ,True,en,True
b89U8h63uSI,False,,False
K00r2GsUhic,True,en,True
OCyFGMOFKt8,True,en,True
BaAPktRjn3Y,False,,False
bnKWCuyZQy0,True,en,True
hJbRpHZr_d0,True,"en,en",True
CgmAmbaWiec,True,hi,True
52rs7XGbJvc,True,hi,True
-_Zn3F279mM,True,en,True
-NghXPxXi-M,True,en,True
7BJ-YJ6qcIo,True,hi,True
LcXwLEEJRzo,True,hi,True
U9beCVRmpCc,True,kn,True
r7xdgnDNlDM,True,en,True
fRuY9gdDD3c,True,en,True
9NaG7q7-QYM,False,,False
-pOwf3m8HBE,True,en,True
elZ98SR4PNM,True,en,True
dN7-tXsrjYk,True,en,True
OkVZA6fQ9Qw,True,en,True
95kRvXxYhu0,True,en,True
8PjqjxUvNOo,True,en,True
6LNRlqp86yM,True,en,False
n1F9VmD1gmg,True,en,True
lF1mDjagcFw,False,,False
4g0kkebBowM,True,hi,True
Y8qXuYLvz10,False,,False
W8eP9ZZqofU,True,ml,True
PmCVcjloRj8,False,,False
BlyAhlQvF04,True,hi,True
xlQHn5hSciM,True,hi,True
YnpWEXUA2WI,True,en,True
BrqZXHcffDA,True,en,True
qrlR8JYSMu8,False,,False
KYKcxkZzHp8,True,en,True
-DrjPSadlrw,True,hi,True
O3UzA-ItA0k,True,hi,True
m7QwLD4I5iI,False,,False
i-liV2oL3UM,False,,False
7axw1ORZhV8,True,en,True
LRHh5TvYyV0,True,hi,True
ISu5u2-Q_Es,True,en,True
3eKZF98ixLk,True,en,True
RZwNsXv-tWc,True,en,True
YwMEcKsq_R0,True,hi,True
ozzlSxcDp6o,True,kn,True
3siCZ0OOmKw,True,en,True
MS4cYZRrCd0,True,"en,en",True
hFpm0Q6hFTc,True,"en-GB,en",True
eVqSWsY_HpQ,False,,False
Z-5cexT4CaI,False,,False
PMv5_AtWlzM,True,hi,True
JwKIX0R01pk,False,,False
7jc1TMMnEbM,True,en,True
aIuo_SLGMVc,True,kn,True
ARaE7X4CLoU,True,en,True
HH6Dy5uoTCg,True,hi,True
ShS9Lelo9V8,True,hi,True
BrTzLPa_GkA,True,hi,True
WwaHfZiLoXk,True,hi,True
TBxnBuUNiBE,True,hi,True
WG4UmATp1Vs,True,kn,True
VwdQtYw-F6E,False,,False
0wJKeCwiNTM,True,hi,True
np32NBA0XiU,True,hi,True
ODuBxm5P1FQ,True,hi,True
Sehy0gAyv2k,False,,False
qQYRdiv6Uzc,True,hi,True
s3XjI9qlOCY,True,en,True
Cg_MlYk1wFs,True,en,True
Qq0eWeCLcpg,True,en,True
KS1lN6AJwCI,True,hi,True
ei6Ih8NTqb8,False,,False
uVvfdG6YyZE,True,en,True
d-wau41ipnA,False,,False
mX5OESuWuH8,False,,False
WnpukzPVEqk,True,hi,True
osGhDKjhHWU,False,,False
2t7ODAaZeFY,True,en,False
6u8UCktloYQ,True,hi,True
qyUybl8AFCA,True,en,True
yNQaVDeRj0c,True,hi,True
V_qBVguvIkc,True,hi,True
zSLdcsEe94g,True,en,True
nKn8YaL_n2U,False,,False
sm6QLZDPFyk,True,hi,True
i0SD-sKy5VM,True,en,True
x_xKEKJrVXo,True,en,True
uoSnDX-C43w,False,,False
FKM4aOluMsI,True,en,True
6Q2VsWvIFrg,True,en,True
ha8MlYhTXyg,False,,False
BdD0OyQyzEo,True,hi,True
O8cNxp5PqKs,True,en,True
vhJC5aCBf-Q,False,,False
FW-XzwNO1Pw,False,,False
l9DWNZ0T4Dg,True,en,True
6Ab0gUuhs4w,True,hi,True
LG4WlJNuAb0,True,hi,True
20Fn-9Yrf6Y,True,hi,True
CusuNrovDJc,True,"en-IN,en",True
GYBNtNIqEvM,True,hi,True
pTpoIxe_3C8,False,,False
xgI2t7Ig4dg,False,,False
laKrFedAIYs,True,en,True
C_zFb_au-B8,True,en,True
bj1jqaSsXvM,True,en,True
CJ35YXZ2z78,True,hi,True
X0f2R6H98BQ,True,en,True
e47u4UDfWOg,False,,False
pgfmCg6-Poc,True,hi,True
uTg5Hj67MsI,True,en,True
FKOpBDx-IMk,True,hi,True
Q1E2AbocGHs,True,en,True
mFKrbvCrs5s,True,en,True
Zi6BXd5OjrI,True,en,True
zYuEEmmziS0,False,,False
AWTD4P1OBJI,True,hi,True
MVckEuCgVmY,True,hi,True
aoIxsKGu69I,True,en,True
FJdzGF3kDNw,False,,False
keKQxTcz74I,True,en,True
TaMHJzT5GD8,True,en,True
y2PQPmXPlzI,True,en,True
etHlu9QTTRM,True,hi,True
vzqMklQ5BsM,False,,False
LO6uqfl4Dec,True,en,True
FuYLXHEGwDo,False,,False
I_q5U4GJda0,False,,False
eJ86TdGHuEA,True,hi,True
CaQwpE-D-uQ,True,hi,True
6WjueVfA_i8,True,hi,True
MAoKHa-fj0E,True,hi,True
NRukKF7Or1o,True,hi,True
1W5pKg3bbss,False,,False
rvqx3ykMPUw,False,,False
UtZhEoHiido,False,,False
w00785UPnbw,True,hi,True
5zV7Wb_cKCk,False,,False
EUpZera75k8,True,en,True
IjxKPrNP3vQ,True,es,True
euediogFLv4,True,en,True
R3BwAGO5gM4,False,,False
Sjcx36ylebg,False,,False
C1KafektaEc,True,en,True
2w-hnpJLI0g,False,,False
ZaA653fHNbI,True,en,True
eWjwbFEcIes,True,hi,True
znl48C9WgYQ,True,hi,True
ICZ5cKz14uw,True,hi,True
t-mknfY6GIY,True,hi,True
Z-p2ze9jecw,False,,False
U8tPNIJgIdk,True,es,True
QBuUEdQ3r_c,True,hi,True
e6VrBKMUWdE,False,,False
PbLy3_7DPs4,True,en,True
_czzoFZX0hE,True,fil,True
RksEiQ09rGM,True,en,True
LrMK9WrQ3SU,True,en,True
1hxz_M2JSsI,True,en,True
h7cDzRJTBqE,True,hi,True
EnuEIlD82nM,True,en,True
7Va1b0AOSsg,True,en,True
DrSUWq4R_Uw,True,hi,True
Pic_WNIkM2o,False,,False
NQkMW-u_Yqw,True,en,True
2pEUxdJxm3U,True,en,True
9JF7XB--NfY,True,en,True
CifvyJWnZxQ,True,en,True
7gZ2hpcA-E0,True,hi,True
FuJ8ggFiR_I,False,,False
f0l1TH8N3fQ,True,en,True
XgPRT2axJUM,True,en,True
-8kiR-YOgsY,True,en,True
_Clih3Gxw8w,False,,False
DPyvzFfcVxo,True,hi,True
iNE_0MHCPBg,True,en,True
_Yw5vdlCb84,True,en,True
h1OxpsDKpHM,False,,False
lviLklNIk2Q,True,hi,True
REcI14WYLfg,True,en,True
RXs8cHWBRq0,False,,False
FRDkNG00khU,False,,False
dU0Y-ZTNYxo,True,en,True
QlpDBRtZX8o,True,en,True
WWvE-QGVmAM,True,en,True
GzkKnhOvqiM,True,en,True
t6B6jkuUHEo,True,hi,True
NOK9-J_s3_8,True,en,True
JufwIJc5aSY,True,en,True
3iZ5WMvDy_4,True,hi,True
ZPvjYdERaEI,True,hi,True
3zACOxsxXsg,True,en,True
bccEoJ0G6qE,True,en,True
nvMRN2bf0zY,True,en,True
