video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
fbpwpTzF-oY,International Yoga Day 2024: Celebrities who have embraced Yoga | World DNA | WION,WION,20240621,121.0,997,phase2,,,,,True,,transcript_available,4
Q-x-DX47QJo,International Yoga Day 2024: Yoga In New York's Times Square For Summer Solstice | US News | N18G,CNBC-TV18,20240621,4114.0,6675,phase2,,,,,True,,transcript_available,6
HSYN-yVTbqI,INTERNATIONAL YOGA DAY - 2024,GREEN VALLEY INTERNATIONAL SCHOOL,20240621,138.0,1523,phase2,,,,,True,,transcript_available,2
0XoCpPXlV4w,Yoga Day 2025 | United Nations,United Nations,20250620,5020.0,8939,phase2,,,,,True,,transcript_available,6
N4cNi6c6qVw,International Yoga Day | Chandra Namaskar | Song - Adiyogi,Sandhya Chavan,20250621,255.0,50921,phase2,,,,,True,,transcript_available,1
UVoznB0DW5k,International Yoga Day 2024: Celebrities who have embraced Yoga,WION,20240621,126.0,2292,phase2,,,,,True,,transcript_available,4
qwRCjUBN3Ns,International Yoga Day 2024: Yoga Day Celebrations In Full Swing In India & Beyond | India Today,India Today,20240621,828.0,432,phase2,,,,,True,,transcript_available,0
rAJU5AsaTcc,Take A Breath 2024| International Yoga Day,Decathlon Sports India,20240708,26.0,368,phase2,,,,,True,,transcript_available,7
6AK0fkhCjO4,"LIVE: PM Modi takes part in 11th International Day of Yoga celebrations in Visakhapatnam, AP",Narendra Modi,20250621,5397.0,372323,phase2,,,,,True,,transcript_available,2
qGQ-TvsT9pk,PM Modi's Leadership in Promoting Yoga: International Day of Yoga and AYUSH Initiatives | IDY 2024,DD India,20240620,152.0,4780,phase2,,,,,True,,transcript_available,4
9pXNA3VXUF8,International Day of YOGA 2024 | Yoga for Women Empowerment | World Yoga Day | Yoga for Women Health,Knowledge & Guidance,20240531,475.0,6605,phase2,,,,,True,,transcript_available,2
AkLEk8bb7RI,International Day of YOGA 2024 | SRI C. P. RADHAKRISHNAN | Hon'ble Governor of Telangana | Kanha,Yoga 4 Unity,20240621,8760.0,1424,phase2,,,,,True,,transcript_available,6
GyQy3n4g-00,SPREADING THE LIGHT OF YOGA TO THE WORLD | INTERNATIONAL DAY OF YOGA 2024 | TWSI,The White School International,20240621,70.0,3079,phase2,,,,,True,,transcript_available,1
eUfaQnDrZxQ,International Day of Yoga 2024 | Sitaram Retreats,Sitaram Retreats,20240621,82.0,895,phase2,,,,,True,,transcript_available,1
gmbXXidEAS8,International Day of Yoga 2024 | Srinagar | Latest Update | Drishti IAS English,Drishti IAS : English,20240621,142.0,1895,phase2,,,,,True,,transcript_available,4
iQel86HoW9M,Highlights of International Yoga Day 2022 at Rashtrapati Bhavan,President of India,20220621,57.0,84163,phase2,,,,,True,,transcript_available,7
nKiZsVg8doE,Dr Tony Nader´s presentation - International Day of Yoga 2024,International Maharishi AyurVeda Foundation,20240626,671.0,3454,phase2,,,,,True,,transcript_available,1
2PWKPU4mp1Q,#Yoga for self and society #MyLifeMyYoga- International Day Of Yoga 2024 #atulyamtwins,Passionate HumPaanch,20200617,181.0,585,phase2,,,,,True,,transcript_available,1
CV4QoG5Emxs,International Yoga Day 2024: BSF Officials Celebrate Yoga Day 2024 With Meditation & Mindfulness,India Today,20240621,857.0,579,phase2,,,,,True,,transcript_available,0
QVr_291uyG8,Theme of International Yoga Day 2024/International Yoga Day Theme 2024/Yoga Day Theme,Minakshi's Classroom,20240612,33.0,3637,phase2,,,,,True,,transcript_available,4
9R5j7aIbpq0,International Day of Yoga | 2024,NIPARS Official,20240620,249.0,1656,phase2,,,,,True,,transcript_available,9
4ToNpt4dAMc,NIRVANA SHATAKAM | international yoga day 2024 |YOGA CHAITHANYA,YOGA CHAITHANYA,20240702,319.0,1080,phase2,,,,,True,,transcript_available,1
