video_id,filename,filepath,priority,word_count,character_count
CA7l6wDCEbU,CA7l6wDCEbU.txt,data/transcripts/CA7l6wDCEbU.txt,4,15957,102963
CIbR7odQklk,CIbR7odQklk.en-orig.txt,data/transcripts/CIbR7odQklk.en-orig.txt,1,8578,48433
CMdAwTulCNo,CMdAwTulCNo.en-orig.txt,data/transcripts/CMdAwTulCNo.en-orig.txt,1,778,4001
CX6ZvR2TJmM,CX6ZvR2TJmM.en-orig.txt,data/transcripts/CX6ZvR2TJmM.en-orig.txt,1,386,2033
C_xsXnRd_uc,C_xsXnRd_uc.en-orig.txt,data/transcripts/C_xsXnRd_uc.en-orig.txt,1,1532,8563
ChUaYLwpGUg,ChUaYLwpGUg.txt,data/transcripts/ChUaYLwpGUg.txt,4,307,1877
CloGwxFDcs4,CloGwxFDcs4.en-orig.txt,data/transcripts/CloGwxFDcs4.en-orig.txt,1,435,2465
D-kdaFEJ9Nk,D-kdaFEJ9Nk.en.txt,data/transcripts/D-kdaFEJ9Nk.en.txt,2,17307,99275
DKkBGHhDQWk,DKkBGHhDQWk.en-orig.txt,data/transcripts/DKkBGHhDQWk.en-orig.txt,1,182,1026
DWtnKRL30jo,DWtnKRL30jo.en-orig.txt,data/transcripts/DWtnKRL30jo.en-orig.txt,1,29944,160587
DbDjQLqC8zs,DbDjQLqC8zs.en.txt,data/transcripts/DbDjQLqC8zs.en.txt,2,366,1940
DnvGnPk5p5k,DnvGnPk5p5k.en.txt,data/transcripts/DnvGnPk5p5k.en.txt,2,20392,114758
E18p25T9pB0,E18p25T9pB0.en-orig.txt,data/transcripts/E18p25T9pB0.en-orig.txt,1,471,2329
EHxM99Tw3ME,EHxM99Tw3ME.en-orig.txt,data/transcripts/EHxM99Tw3ME.en-orig.txt,1,16850,83298
EXXlWnxEG48,EXXlWnxEG48.en-orig.txt,data/transcripts/EXXlWnxEG48.en-orig.txt,1,369,1852
Ec5yaorLl-M,Ec5yaorLl-M.en-orig.txt,data/transcripts/Ec5yaorLl-M.en-orig.txt,1,177,993
Ez2IFfaoRJQ,Ez2IFfaoRJQ.en-orig.txt,data/transcripts/Ez2IFfaoRJQ.en-orig.txt,1,88700,479690
F0-FJsFNALg,F0-FJsFNALg.txt,data/transcripts/F0-FJsFNALg.txt,4,192,1081
F0LO7mfmlL8,F0LO7mfmlL8.en-orig.txt,data/transcripts/F0LO7mfmlL8.en-orig.txt,1,2168,10724
FK9G5DEYQmc,FK9G5DEYQmc.en-orig.txt,data/transcripts/FK9G5DEYQmc.en-orig.txt,1,2316,12038
FM7tEqDSAIo,FM7tEqDSAIo.en-orig.txt,data/transcripts/FM7tEqDSAIo.en-orig.txt,1,677,3815
FQCb-9Df0uQ,FQCb-9Df0uQ.txt,data/transcripts/FQCb-9Df0uQ.txt,4,1151,6879
Fh9yAIUNZ6M,Fh9yAIUNZ6M.en-orig.txt,data/transcripts/Fh9yAIUNZ6M.en-orig.txt,1,1163,6279
FsS7-0i8C-4,FsS7-0i8C-4.txt,data/transcripts/FsS7-0i8C-4.txt,4,10050,47663
G02TTum6JT8,G02TTum6JT8.en-orig.txt,data/transcripts/G02TTum6JT8.en-orig.txt,1,989,4819
G0yaF7rw928,G0yaF7rw928.en-orig.txt,data/transcripts/G0yaF7rw928.en-orig.txt,1,2276,12176
GH5dXYEfG1s,GH5dXYEfG1s.txt,data/transcripts/GH5dXYEfG1s.txt,4,2807,14661
GN1cZhfmRZE,GN1cZhfmRZE.en.txt,data/transcripts/GN1cZhfmRZE.en.txt,2,55,289
GO0RorA2xWY,GO0RorA2xWY.en-orig.txt,data/transcripts/GO0RorA2xWY.en-orig.txt,1,1227,6378
GQPYZ2pMPAo,GQPYZ2pMPAo.en.txt,data/transcripts/GQPYZ2pMPAo.en.txt,2,43,135
GX-LX1BQJ-M,GX-LX1BQJ-M.en-orig.txt,data/transcripts/GX-LX1BQJ-M.en-orig.txt,1,460,2361
GYpgTh6Fp1E,GYpgTh6Fp1E.en-orig.txt,data/transcripts/GYpgTh6Fp1E.en-orig.txt,1,80,441
HGXXOaEQEa0,HGXXOaEQEa0.txt,data/transcripts/HGXXOaEQEa0.txt,4,8665,45018
HRjstAj88dI,HRjstAj88dI.txt,data/transcripts/HRjstAj88dI.txt,4,1765,7138
HchEzNZRTY8,HchEzNZRTY8.en-orig.txt,data/transcripts/HchEzNZRTY8.en-orig.txt,1,132,671
Hhu0XG8nyZw,Hhu0XG8nyZw.txt,data/transcripts/Hhu0XG8nyZw.txt,4,200,1867
Hxjvyc8FGDU,Hxjvyc8FGDU.en-orig.txt,data/transcripts/Hxjvyc8FGDU.en-orig.txt,1,1046,5948
I62oIzQdeqY,I62oIzQdeqY.txt,data/transcripts/I62oIzQdeqY.txt,4,612,3272
JD1wlHhzQyE,JD1wlHhzQyE.en.txt,data/transcripts/JD1wlHhzQyE.en.txt,2,28,102
JDIUb3h1b7E,JDIUb3h1b7E.txt,data/transcripts/JDIUb3h1b7E.txt,4,1776,9944
JE-PiYfUWJA,JE-PiYfUWJA.en-orig.txt,data/transcripts/JE-PiYfUWJA.en-orig.txt,1,3186,17046
JQrbuY71kpM,JQrbuY71kpM.txt,data/transcripts/JQrbuY71kpM.txt,4,367,1902
JhLECip4b4I,JhLECip4b4I.en-orig.txt,data/transcripts/JhLECip4b4I.en-orig.txt,1,6889,35930
Jn-uO_LUG54,Jn-uO_LUG54.en-orig.txt,data/transcripts/Jn-uO_LUG54.en-orig.txt,1,1094,6831
JpMUar8mh48,JpMUar8mh48.en-orig.txt,data/transcripts/JpMUar8mh48.en-orig.txt,1,1102,6144
JqYSRv8QgRQ,JqYSRv8QgRQ.en-orig.txt,data/transcripts/JqYSRv8QgRQ.en-orig.txt,1,6961,38685
K-imIEL8f-A,K-imIEL8f-A.en-orig.txt,data/transcripts/K-imIEL8f-A.en-orig.txt,1,146,902
K1dIyFTac3E,K1dIyFTac3E.txt,data/transcripts/K1dIyFTac3E.txt,4,278,1546
K250wjFz26w,K250wjFz26w.en-orig.txt,data/transcripts/K250wjFz26w.en-orig.txt,1,1871,10023
KdvIc1OCv8A,KdvIc1OCv8A.txt,data/transcripts/KdvIc1OCv8A.txt,4,1003,4913
Kj0q3SRUM1A,Kj0q3SRUM1A.en.txt,data/transcripts/Kj0q3SRUM1A.en.txt,2,2533,15529
KmhrleAYyIo,KmhrleAYyIo.en.txt,data/transcripts/KmhrleAYyIo.en.txt,2,2874,16094
KumH4WkJh0g,KumH4WkJh0g.txt,data/transcripts/KumH4WkJh0g.txt,4,195,1033
L_GxgYRVSTs,L_GxgYRVSTs.en-orig.txt,data/transcripts/L_GxgYRVSTs.en-orig.txt,1,63,402
LbrX6tZ0Ovg,LbrX6tZ0Ovg.txt,data/transcripts/LbrX6tZ0Ovg.txt,4,193,821
M2NAu29ZxYc,M2NAu29ZxYc.en-orig.txt,data/transcripts/M2NAu29ZxYc.en-orig.txt,1,1493,8201
M7AavH3OLhE,M7AavH3OLhE.en-orig.txt,data/transcripts/M7AavH3OLhE.en-orig.txt,1,1503,8335
MhLMPC5zjWc,MhLMPC5zjWc.txt,data/transcripts/MhLMPC5zjWc.txt,4,6051,49082
MniPdncacTM,MniPdncacTM.en.txt,data/transcripts/MniPdncacTM.en.txt,2,16,112
MoW2xNKtVew,MoW2xNKtVew.en-orig.txt,data/transcripts/MoW2xNKtVew.en-orig.txt,1,1426,7655
Mrhgz1yeBSg,Mrhgz1yeBSg.txt,data/transcripts/Mrhgz1yeBSg.txt,4,707,4313
N2hINf9f0Fw,N2hINf9f0Fw.en-orig.txt,data/transcripts/N2hINf9f0Fw.en-orig.txt,1,13,79
N42eZHCExBo,N42eZHCExBo.txt,data/transcripts/N42eZHCExBo.txt,4,3454,19405
NJBogtJh9T0,NJBogtJh9T0.txt,data/transcripts/NJBogtJh9T0.txt,4,436,1139
NRFwGkALO7A,NRFwGkALO7A.txt,data/transcripts/NRFwGkALO7A.txt,4,488,2452
