video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count_x,status,filename,word_count_y,character_count
Ez2IFfaoRJQ,{Gandhi Audio Book} Hind Swaraj or Indian Home Rule (by Mahatma Gandhi),George M. Haas,20160623,12194.0,250,v1,George M. Haas,1.0,https://www.youtube.com/watch?v=Ez2IFfaoRJQ,{Gandhi Audio Book} Hind Swaraj or Indian Home Rule by Mahatma Gandhi (Mohandas Karamchand Gandhi),True,88700.0,transcript_available,Ez2IFfaoRJQ.en-orig.txt,88700,479690
aRZPKYnfYS0,The Yoga Sutras of Patanjali by PATANJALI read by Various | Full Audio Book,LibriVox Audiobooks,20190329,13060.0,239,v1,LibriVox Audiobooks,3.0,https://www.youtube.com/watch?v=aRZPKYnfYS0,"The Yoga Sutras of Patanjali by PATANJALI (c. 150 BCE - ), translated by  Charles JOHNSTON (1867 - 1931)
Genre(s): Philosophy

Read by: sid, Chiquito Crasto, David Lawrence, Uday Sagar, April Gonzales, KirksVoice in English

Chapters:
00:00:00 - 01 - Introduction to Book 1
00:05:58 - 02 - Book 1
00:44:04 - 03 - Introduction to Book 2
00:47:18 - 04 - Book 2 from 1 to 28
01:10:32 - 05 - Book 2 from 29th to the end
01:34:59 - 06 - Introduction to Book 3
01:41:00 - 07 - Book 3 from 1 to 28
02:09:46 - 08 - Book 3 from 29th to the end
02:46:16 - 09 - Introduction to Book 4
02:49:05 - 10 - Book 4

Yoga sutras by Patanjali is a seminal work in yoga, this book is more about control of mind and the true goal of yoga.  The sutras are extremely brief, and the translation in neat English makes it very easy for people to understand the ancient Sanskrit text.  It starts with the birth and growth of spiritual man through the control of mind.  In all, this is a 'all in one' book for yoga philosophy written by the master himself. (Summary by sidhu177)

More information: http://librivox.org/the-yoga-sutras-of-patanjali/

LibriVox - free public domain audiobooks (https://librivox.org/)",True,93027.0,transcript_available,aRZPKYnfYS0.en-orig.txt,93027,520233
