video_id,title,channel,upload_date,duration,view_count,year,priority
MVckEuCgVmY,"LIVE: PM Modi takes part in 11th International Day of Yoga celebrations in Visakhapatnam, AP",Bharatiya Janata Party,20250621,5365,10867,2025,1.0
ocuerNUWTaM,PM Modi's state visit to the US begins with Yoga day celebrations at UN HQ | WION,WION,20230621,600,10718,2023,1.0
JK2y_SfHdf8,PM's speech during International Day of Yoga celebrations in Visakhapatnam | Eng subtitles,Narendra Modi,20251130,1140,10401,2025,1.0
jMKJYZDqTks,PM Modi To Lead Yoga Day Celebrations At UN HQ; Dignitaries Of 180 Countries To Participate,Republic World,20230621,223,9907,2023,1.0
f3PH1cvX8sM,"PM Modi Leads Yoga Day Event In New York, Says 'Yoga Unites The World' | Latest English News",MIRROR NOW,20230622,74,9519,2023,1.0
C_zFb_au-B8,"International Yoga Day 2025 | From India to the World, How Yoga Changed The Way We Live",Oneindia News,20250620,125,9437,2025,1.0
_IKq9_hxfR8,PM Modi Live: PM Modi Live At UN Headquarters: International Yoga Day 2023 | India Today LIVE,India Today,20230622,35614,9361,2023,1.0
xm28ewV7S9w,PM Modi Arrives At UN Headquarters To Lead International Yoga Day Celebrations,India Today,20230621,398,9319,2023,1.0
FNdSkS0tTCQ,International Yoga Day 2024: 'Yoga & Ayurveda'- Celebrating India's gift to mankind | WION Promo,WION,20240531,43,9277,2024,1.0
bJgAp7SRgMk,Yoga day 21 June 2024 | Yoga day celebration,yogamates,20260106,338,9138,2026,1.0
Iyx7desT8h8,🔴 LIVE | Yoga Mahotsav 2026 — 25 Days to International Day of Yoga 2026,Morarji Desai National Institute of Yoga (MDNIY),20260527,8100,9137,2026,1.0
0XoCpPXlV4w,Yoga Day 2025 | United Nations,United Nations,20250620,5020,8939,2025,1.0
Jp5n2uTR6oA,“Finding Balance and Calmness through Yoga-Meditation” | 2024 International Yoga Day | English,Yogoda Satsanga Society of India,20240616,3449,8801,2024,1.0
JbzEmGWh1mc,Gravitas US Edition: PM Modi leads Yoga Day event at UN HQ | 180 nations witness India's soft power,WION,20230621,2943,8493,2023,1.0
bj1jqaSsXvM,International Yoga Day 2025: The Rise of the Yoga Economy,moneycontrol,20250621,303,8106,2025,1.0
RNCyEuseurI,"International Yoga Day: PM Modi arrives In New York, to lead celebrations at UN headquarters | WION",WION,20230621,208,7939,2023,1.0
n3Zf6ga7ncU,History created! PM Modi’s Yoga event at United Nations headquarters sets Guinness World Record,ANI News,20230621,190,7754,2023,1.0
Oti5_j_jtk0,"New World Record created at the International Yoga Day Celebrations at UN HQ, New York",PMO India,20230621,197,7579,2023,1.0
CJ35YXZ2z78,Yoga Day M G SANVI | international yoga day 2025 celebration | iDream News,iDream News,20250621,161,7110,2025,1.0
f0l1TH8N3fQ,International Yoga Day quiz in English 2025 | Quiz on Yoga Day | International Yoga Day 2025,Achoose World,20250616,653,6914,2025,1.0
dN7-tXsrjYk,Yoga for Self & Society - Celebrating 10th International Yoga Day - June 21 #YogaforAllRoga,Planet Ayurveda,20240621,929,6721,2024,1.0
Q-x-DX47QJo,International Yoga Day 2024: Yoga In New York's Times Square For Summer Solstice | US News | N18G,CNBC-TV18,20240621,4114,6675,2024,1.0
9pXNA3VXUF8,International Day of YOGA 2024 | Yoga for Women Empowerment | World Yoga Day | Yoga for Women Health,Knowledge & Guidance,20240531,475,6605,2024,1.0
6Q2VsWvIFrg,Sivananda Yoga Class - International Day of Yoga | 21 June 2025,"Sivananda Yoga Centre, Gurgaon",20250621,5426,6465,2025,1.0
XoKsd-IwLpQ,"International Day of Yoga: Journey | 20 June, 2024",Sansad TV,20240620,1286,6337,2024,1.0
IwZQp9Yq1TI,Yoga for All | Know your Breath | 21 Days IDY 2026 Challenge,Yoga 4 Unity,20260601,5251,6064,2026,1.0
vzqMklQ5BsM,LIVE: PM Modi Leads International Yoga Day 2025 Event From Visakhapatnam | Yoga Day 2025,Times Now,20250621,20,6000,2025,1.0
30unmx881Ag,PM Modi Addresses Nation From Srinagar On International Yoga Day 2024 | India Today News,India Today,20240621,664,5868,2024,1.0
Q1E2AbocGHs,"INTERNATIONAL DAY OF YOGA 2025 | 30 min, feel good, gentle vinyasa flow ✨",Arianna Elizabeth,20250621,1594,5836,2025,1.0
HRqjAtCQ_mk,"PM Modi's address on International Day of Yoga 2024, Srinagar",PMO India,20240621,1500,5667,2024,1.0
O8cNxp5PqKs,"International Day of Yoga 2025, Yoga for One Earth, One Health, History, Theme & Global Significance",Arihant Online Academy,20250612,264,5582,2025,1.0
d_PgNocg3z4,India's Modi showcases yoga at United Nations,Associated Press,20230621,84,5554,2023,1.0
efbMFVYfZhA,"Yoga for One Earth, One Health Poster Drawing Ideas 2025 | International Yoga Day 2025",Fact Navigate,20250609,555,5430,2025,1.0
RehqLdUGJlg,International Yoga Day Celebration at IGC | Yoga Camp | Ministry of Ayush Initiative,Indo Global Group of Colleges,20230621,60,5312,2023,1.0
559cVTeWW9s,India's Ayush Ministry organises inaugural session of 'Yoga connect- a Global Yoga Summit',DD India,20250614,79,5247,2025,1.0
UMSIaxSdOa4,Indian PM Narendra Modi leads International Yoga Day celebrations at UN headquarters | WION LIVE,WION,20230621,9919,5244,2023,1.0
NpaZzoUxA7Q,"Ahead Of PM Modi-Led Yoga Event, Bharat Mata Ki Jai Echoes | Rahul Kanwal Reports Live From NY",India Today,20230621,364,5026,2023,1.0
Z-5cexT4CaI,Yoga for self and society,Global Writing Corner,20240614,283,4988,2024,1.0
2e_pszlUvOs,UN Headquarters decked up for Intl Yoga Day as PM Modi to lead the grand event,ANI News,20230621,215,4917,2023,1.0
qGQ-TvsT9pk,PM Modi's Leadership in Promoting Yoga: International Day of Yoga and AYUSH Initiatives | IDY 2024,DD India,20240620,152,4780,2024,1.0
7e85JPQaWCw,YOGA DAY 2024 Don't Miss This Opportunity - FREE Offering From Sadhguru | International Day Of Yoga,The Mystic World,20240608,293,4738,2024,1.0
wXO2eKyoSPA,International Yoga Day | UPSC | Drishti IAS English,Drishti IAS : English,20250621,531,4715,2025,1.0
BdD0OyQyzEo,PM Modi Performs Yoga on International Yoga Day 2025 in Visakhapatnam | Full Event | 21 June 2025,Sansad TV,20250621,2806,4712,2025,1.0
ha8MlYhTXyg,International day of Yoga - IDY 2025,Indian Navy,20250621,69,4708,2025,1.0
e81UHZM44vU,From Yoga Day to State Dinner: A detailed look into PM Narendra Modi’s US visit itinerary,Times Of India,20230615,231,4630,2023,1.0
t_zfJ5nLQv8,Yoga for All | Focus on Lateral Bend -  21 Days IDY 2026 Challenge,Yoga 4 Unity,20260602,4098,4520,2026,1.0
zJFk62RSVVY,"Perspective: Yoga for One Earth, One Health | 19 June, 2025",Sansad TV,20250619,1773,4486,2025,1.0
IaMaAM5QMC8,International Day of Yoga • 21 June 2024,Datta Peetham SGS Ashrama,20240621,13174,4346,2024,1.0
sHqUVG00auM,"Watch | Let Us Use The Power Of Yoga To Build A Peaceful World, Greener Future: PM Modi At UN",India Today,20230621,507,4235,2023,1.0
tHkW2akJLfY,Narendra Modi leads Yoga session in New York - part one,Sky News,20230621,2330,4091,2023,1.0
bYf5oUBqcvs,Full & Uncut: PM Modi's Message On International Yoga Day,Republic World,20230621,673,4090,2023,1.0
cJEAK5Qks9U,International Day of Yoga 2025: Embracing the Ancient Tradition for Holistic Health,NYC DESI  एनवाईसी देसी,20250623,250,4012,2025,1.0
6qYYbjmn6LM,International Yoga Day Special Quiz - International Day of Yoga Quiz 2024- Most Important Questions,MOM&MISHKA,20240614,486,3922,2024,1.0
WWvE-QGVmAM,Yoga and it's Popularity | Over Years | Special | IDY 2025 | DD India,DD India,20250619,153,3883,2025,1.0
pgfmCg6-Poc,"International Day of Yoga - 📍Capital City of Yoga, Rishikesh, 🚩Parmarth Niketan || 21 June 2025 ||",Parmarth Niketan,20250621,5750,3777,2025,1.0
6WtvdIBrW8c,International Yoga Day 2023 Live Updates | PM Modi's Message On International Yoga Day | News18 Live,CNN-News18,20230621,23880,3768,2023,1.0
xVg2c3gOQFY,Namaste Yoga | Yoga Day 2024 | Promo,India Today,20240620,31,3699,2024,1.0
XgAMQHR7AxY,"PM Modi participates in a special event on International Day of Yoga, Srinagar",PMO India,20240621,1685,3697,2024,1.0
xgI2t7Ig4dg,"Yoga Day 2025 | How International Yoga Day Was Celebrated Across India, World",NDTV,20250621,112,3669,2025,1.0
pN4Wv_8DDT0,International Day of Yoga Uttarakhand Anthem,ReNature,20260531,67,3648,2026,1.0
QVr_291uyG8,Theme of International Yoga Day 2024/International Yoga Day Theme 2024/Yoga Day Theme,Minakshi's Classroom,20240612,33,3637,2024,1.0
Y69md6XRncU,Watch people's enthusiasm for International Day of Yoga 2024.,Ministry of Ayush,20240604,143,3576,2024,1.0
