title,year,authors,venue,citations,url
""" International Meditation Day: Harnessing Brahma Kumaris Raja Yoga Meditation for Global Peace and Sustainable Well-Being",2024,['NV Nagesh'],Journal of Emerging Technologies and Innovative …,4,https://www.researchgate.net/profile/Dr-N-V/publication/387233739_International_Meditation_Day_Harnessing_Brahma_Kumaris_Raja_Yoga_Meditation_for_Global_Peace_and_Sustainable_Well-Being/links/67652783c1b0135465eaad9d/International-Meditation-Day-Harnessing-Brahma-Kumaris-Raja-Yoga-Meditation-for-Global-Peace-and-Sustainable-Well-Being.pdf
Impact assessment of International Day of Yoga: results from a cross-sectional survey,2024,"['RR Mohan', 'HS Vadiraja', 'G Moirangthem']",… Journal of Yoga & …,3,https://journals.lww.com/ijyn/fulltext/2024/01000/impact_assessment_of_international_day_of_yoga_.4.aspx?context=latestarticles
Yoga: An Ancient Practice in India's Modern Diplomacy,2024,['S Kumari'],Vivekananda International Foundation,2,https://manage.vifindia.org/2024/july/24/Yoga-An-Ancient-Practice-in-India-s-Modern-Diplomacy?slide=$slideshow$
Ideal Time to Practice Yoga: Insights from Traditional Yoga Texts and Observations from Scientific Studies: A Narrative Review,2024,"['S Iyer', 'H Bhargav', 'R Bhat']",… of Applied Consciousness Studies,1,https://journals.lww.com/joacs/fulltext/2024/12020/ideal_time_to_practice_yoga__insights_from.3.aspx
The transformative impact of the international day of yoga,2023,['NK Manjunath'],International Journal of Yoga,23,https://journals.lww.com/ijoy/fulltext/2023/16010/The_Transformative_Impact_of_the_International_Day.1.aspx
State spectacles of yoga: invisible India and India everywhere,2023,['S Black'],South Asia: Journal of South Asian Studies,10,https://www.tandfonline.com/doi/abs/10.1080/00856401.2023.2135847
Impact of International Day of Yoga and thrust from the Government in bringing Yoga to daily lives of people,2023,"['RM Raghavendra', 'HS Vadiraja']",Journal of Research …,0,https://journals.lww.com/jras/fulltext/2023/07001/research_initiatives_and_network_linkages_in.14.aspx
International Sivananda Yoga Vedanta Centers,2023,['JU Augspurger'],NA,0,https://open.library.ubc.ca/media/download/pdf/52387/1.0438183/2
"Health-related quality of life outcomes with regular yoga and heartfulness meditation practice: Results from a multinational, cross-sectional study",2022,"['J Thimmapuram', 'K Patel']",JMIR Formative …,28,https://formative.jmir.org/2022/5/e37876/What
"“YOGA HERE, YOGA THERE, YOGA EVERYWHERE”. A CULTURAL STUDY OF YOGA IN CONTEMPORARY SOCIETY",2022,"['P Siegel', 'RF Afonso', 'NF de Barros']",Scripta Ethnologica,5,https://www.redalyc.org/journal/148/14874119005/14874119005.pdf
Facing the Emergency DownDog–On the Political Appropriation of Yoga,2022,['S Kemmerer'],Kairos: A Journal of Critical Symposium,2,http://kairostext.in/index.php/kairostext/article/view/146
"Yoga bodies, yoga minds: contextualising the health discourses and practices of modern postural yoga",2021,"['A Shaw', 'ES Kaytaz']",Anthropology & Medicine,47,https://www.tandfonline.com/doi/abs/10.1080/13648470.2021.1949943
A pubmed-based exploration of the course of yoga research from 1948 to 2020,2021,"['D Chetry', 'S Telles', 'A Balkrishna']",International journal of yoga …,18,https://ijyt.kglmeridian.com/view/journals/ijyt/31/1/article-Article_22.xml
Positioning yoga: Balancing acts across cultures,2020,['S Strauss'],NA,484,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781003086420&type=googlepdf
Peace love yoga: The politics of global spirituality,2020,['AR Jain'],NA,205,https://books.google.com/books?hl=en&lr=&id=nbryDwAAQBAJ&oi=fnd&pg=PP1&dq=International+Day+of+Yoga&ots=Db5MCkly-4&sig=u3PDIPqGD2ZnVR4bEqdQhH4TCUk
A socio-cultural perspective on yoga tourism,2020,"['E Öznalbant', 'MD Alvarez']",Tourism Planning & Development,64,https://www.tandfonline.com/doi/abs/10.1080/21568316.2019.1606854
Yoga for COVID-19 and natural disaster related mental health issues: Challenges and perspectives,2020,"['R Ransing', 'MP da Costa', 'F Adiukwu']",Asian journal of …,43,https://pmc.ncbi.nlm.nih.gov/articles/PMC7451212/
"Choreographing Tolerance: Narendra Modi, Hindu Nationalism, and International Yoga Day",2020,['A Lakshmi'],Race and Yoga,34,https://escholarship.org/uc/item/4vz5j2cq
Soft power and biopower: Narendra Modi's “double discourse” concerning yoga for climate change and self-care,2020,['CP Miller'],Journal of Dharma Studies,31,https://link.springer.com/article/10.1007/s42240-020-00068-w
"Changing Face of the Yoga Industry, Its Dharmic Roots and Its Message to Women: an Analysis of Yoga Journal Magazine Covers, 1975–2020",2020,"['A Wittich', 'P McCartney']",Journal of Dharma Studies,15,https://link.springer.com/article/10.1007/s42240-020-00071-1
"The International Yoga Day, political discourse, and soft power game in India",2020,['J Samal'],BLDE University Journal of Health Sciences,8,"https://journals.lww.com/blde/fulltext/2020/05020/the_international_yoga_day,_political_discourse,.2.aspx"
