year,twitter_count,twitter_norm,score,trends_norm,embassy_count,embassy_norm,idy_visibility_index
2015,1087.0,1.0,5.833333333333333,0.5633802816901409,0.0,0.0,0.6471830985915493
2016,916.0,0.8426862925482981,4.791666666666667,0.4627766599597586,0.0,0.0,0.5411806626326496
2017,918.0,0.8445262189512419,5.104166666666667,0.4929577464788733,0.0,0.0,0.5525720097956646
2018,467.0,0.4296228150873965,6.0625,0.585513078470825,0.0,0.0,0.3982598442541172
2019,765.0,0.703771849126035,8.5,0.8209255533199196,0.0,0.0,0.6040212757686876
2020,683.0,0.6283348666053358,8.604166666666666,0.8309859154929577,0.0,0.0,0.5735957603949363
2021,315.0,0.28978840846366144,10.354166666666666,1.0,0.0,0.0,0.4804047838086476
2022,383.0,0.35234590616375344,10.0625,0.971830985915493,9.0,0.14285714285714285,0.5272679314155402
2023,0.0,0.0,8.083333333333334,0.7806841046277667,5.0,0.07936507936507936,0.2891124524927342
2024,0.0,0.0,6.520833333333333,0.6297786720321932,11.0,0.1746031746031746,0.2553431701319025
2025,0.0,0.0,8.75,0.8450704225352114,32.0,0.5079365079365079,0.39736194947462555
2026,0.0,0.0,0.0,0.0,63.0,1.0,0.2
