year,idy_visibility_index_v3,regime
2015,0.2550345177709724,saturation / stable peak
2016,0.4,saturation / stable peak
2017,0.6052086812301831,expansion
2018,0.5271812540690773,expansion
2019,0.4995077136709627,decline
2020,0.4704556723770657,decline
2021,0.5728443664851293,expansion
2022,0.5384999242527495,expansion
2023,0.2738797572498214,decline
2024,0.263679612184126,decline
2025,0.4529409620220255,expansion
2026,0.1561380861908115,decline
