year,w,t,e,idy_visibility_index_v2_2
2015,0.47372861652480924,0.18726591760299646,0.0,0.2930440835433036
2016,1.0,0.0,0.0,0.5
2017,0.8587234511736492,0.056179775280899034,0.0,0.4462156581710943
2018,0.5007490358410653,0.22846441947565554,0.0,0.31891384376322934
2019,0.04043595084407351,0.6666666666666667,0.0,0.22021797542203678
2020,0.019295163265844205,0.6853932584269663,0.0,0.21526555916101198
2021,0.01808472134668255,1.0,0.0,0.3090423606733413
2022,0.011116890338755953,0.9475655430711611,0.0,0.2898281080907263
2023,0.012145166741370507,0.5917602996254684,0.0,0.18360067325832577
2024,0.011275086708388962,0.310861423220974,0.0,0.09889597032048666
2025,0.015043036603284253,0.7116104868913858,0.0,0.22100466436905788
2026,0.0,0.0,0.0,0.0
