year,w,t,e,idy_visibility_index_v2_1
2015,0.47372861652480924,0.0,0.0,0.21317787743616418
2016,1.0,0.0,0.0,0.45
2017,0.8587234511736492,0.0,0.0,0.3864255530281422
2018,0.5007490358410653,0.0,0.0,0.2253370661284794
2019,0.04043595084407351,0.0,0.0,0.01819617787983308
2020,0.019295163265844205,0.0,0.0,0.008682823469629893
2021,0.01808472134668255,0.0,0.0,0.008138124606007147
2022,0.011116890338755953,0.0,0.06896551724137931,0.01879570410071604
2023,0.012145166741370507,0.0,0.0,0.005465325033616728
2024,0.011275086708388962,0.0,0.10344827586206896,0.025763444191188825
2025,0.015043036603284253,0.0,0.46551724137931033,0.09987281474733999
2026,0.0,0.0,1.0,0.2
