                                                     channel  count
                        Jain Vishva Bharati Institute Ladnun      1
                                              Beginners Yoga      1
                                                Sailor Today      1
                            The Arogya Yoga Trinetr Insight       1
                                             Zee Telugu News      1
                                       Saas Bahu aur Saazish      1
                                                 V-SAT Media      1
                                                 UPSC AKHADA      1
                                            MAKE IN INDIA TV      1
                                               Coming Bharat      1
                                          Youth Veerangnayen      1
                                                 Minz boy21       1
                                                   INO SURYA      1
                                              The actual me       1
                                                 Hitkar Yuva      1
                                        Knowledge & Guidance      1
                                    Keshav Anand Das - HINDI      1
                                  EARLY POST DAILY NEWSPAPER      1
                                                  Srishti GK      1
                            Bharat 24 - Vision Of New India       1
                                              Yoga With Bini      1
                             Yoga Se Hi Hoga I Giirish Anand      1
                                             Hindustan Times      1
                                                  AJ FITZONE      1
                                               Nasheman News      1
                                                Rajeev Raval      1
                                   DIRECTORATE OF AYUSH, J&K      1
                                                  BETON BRUT      1
                                                      KVS HQ      1
          Dronagiri High School English Medium, Karanja-Uran      1
                                                 Bhagyalaxmi      1
                                              habit of yoga       1
                                            The Great Police      1
                                                Yoga by Geet      1
                                Running & Cycling with Jerry      1
                                           raja narasimharao      1
                                                   GS CRAZE       1
                                              B.K. Dr. Reena      1
                                            Parmarth Niketan      1
                    The Art of Living Dharma Sthambha Yojana      1
                                                   The Light      1
                                           The Yoga Traveler      1
                                          RAJ ENGLISH SCHOOL      1
                                  Nehru Yuva Kendra Varanasi      1
                                                 VIRENDRA DR      1
                                             Biswajeet samal      1
                                           Madhav University      1
               Research Institute of Unani Medicine srinagar      1
                                            Navjeevan neswsd      1
                           GREEN VALLEY INTERNATIONAL SCHOOL      1
                                            Kailasa Records       1
                                               InfoByGuru Ji      1
                                                      Qvive       1
                                                  NFDC India      1
                                             Arham Dhyan Yog      1
                                     EVERGREEN PUBLIC SCHOOL      1
                                             Eastern Railway      1
                                    RhythmDancePrapti Mehta       1
                                                Shubh Pandey      1
                                Ministry of Minority Affairs      1
                                               DAVians Unite      1
                                                Mark Tullius      1
                                               Live Holistic      1
                                                 Laura Plumb      1
                                                  NewsX Live      1
                                                 YaleCourses      1
                                     Bharat Yogavidya Kendra      1
                                                     LU SISI      1
                                             i24NEWS English      1
                                                    SANTV UK      1
                                                Manushi Yoga      1
                                        WCCO - CBS Minnesota      1
                                                 In Goa 24x7      1
                                           FRANCE 24 English      1
                                                  tvbharat24      1
                                                  MIRROR NOW      1
